name,price,available,quantity
"Lattafa Nebras vinho 100ml  (unisex)",170,true,
"Lattafa Niche Emarati  Nadira 100ml(unissex)",175,true,5
"Lattafa Niche Emarati Antique  100ml(unissex)",195,true,12
"Lattafa Niche Emarati Classic Stone 100ml(unissex)",195,true,8
"Lattafa Niche Emarati Khalid 80ml(unissex)",205,true,18
"Lattafa Niche Emarati Mughal Fort 100ml(unissex)",195,true,8
"Lattafa Opulent Dubai 100ml(unissex)",135,true,20
"Lattafa Opulent Musk 100ml(fem)",95,true,5
"Lattafa Opulent Oud 100ml(unissex)",105,true,10
"Lattafa Peace E Love 100ml(unisex)",200,true,10
"Lattafa Petra 100ml (fem)",170,true,
"Lattafa Pride Art Of Arabia III 100ml(unissex)",235,true,15
"Lattafa Pride Pisa 100ml (masc)",260,true,
"Lattafa Pure Crystal 100ml(fem)",370,true,12
"Lattafa Qaed Al Fursan 90ml(unisex)",120,true,42
"Lattafa Qaed Al Fursan Untamed 90ml(unissex)",120,true,3
"Lattafa Qimmah For Men 100ml",100,true,9
"Lattafa Queen Of Arabia 100ml(fem)",360,true,75
"Lattafa Royal Sapphire 100ml(unissex)",155,true,12
"Lattafa Sakeena 100ml(fem)",130,true,25
"Lattafa Sehr 100ml(unisex)",190,true,19
"Lattafa Ser Hubbe 100ml(fem)",95,true,10
"Lattafa Shaheen Gold 100ml(unisex)",165,true,
"Lattafa Shaheen Silver 100ml(unisex)",155,true,
"Lattafa Sheikh Shuyukh Supreme 100ml(unissex)",145,true,11
"Lattafa Sherif 100ml(masc)",125,true,20
"Lattafa Teriaq 100ml(fem)",155,true,18
"Lattafa Teriaq Intense 100ml(unisex)",185,true,10
"Lattafa Tharwah Gold 100ml(fem)",275,true,
"Lattafa The Kingdom cx branca 100ml(masc)",170,true,
"Lattafa the kingdom cx dourada 100ml(fem)",140,true,
"Lattafa Thouq 80ml(unissex)",160,true,10
"Lattafa Victoria 100ml(fem)",170,true,18
"Lattafa Vintage Radio 100ml(unissex)",145,true,4
"Lattafa Washwash 100ml(fem)",100,true,0
"Lattafa Yara Candy 100ml (fem)",135,true,
"Lattafa Yara Elixir 100ml (fem)",225,true,
"Lattafa Yara Moi 100ml (fem)",145,true,
"Lattafa Yara rosa 100ml (fem)",140,true,
"Lattafa Yara Tous 100ml (fem)",140,true,
"Le Chameau Arabia Madame 100ml(fem)",175,true,8
"Le Chameau Arabia Malaak 100ml(fem)",145,true,8
